,ssid,cake0_candle0_x,cake0_candle0_y,cake0_candle1_x,cake0_candle1_y,cake0_candle2_x,cake0_candle2_y,avg_x0,avg_y0,avg_x1,avg_y1,avg_x2,avg_y2
0,c1deb011a6cc416cb4866fb60716503a,0,0,4,4,2,2,0.0,0.0,4.0,4.0,2.0,2.0
0,5028381746e444b5820624506fbca82d,0,4,4,4,4,0,0.0,4.0,4.0,4.0,4.0,0.0
