,ssid,cake0_candle0_x,cake0_candle0_y,cake0_candle1_x,cake0_candle1_y,cake0_candle2_x,cake0_candle2_y,avg_x0,avg_y0,avg_x1,avg_y1,avg_x2,avg_y2
0,ae2f1170593f4738bcdf0e263ca5a5b1,1,4,4,4,2,2,1.0,4.0,4.0,4.0,2.0,2.0
0,9cbcbe5a3ef94f098815d856defe89f7,1,4,4,4,2,2,1.0,4.0,4.0,4.0,2.0,2.0
