,ssid,cake0_candle0_x,cake0_candle0_y,cake0_candle1_x,cake0_candle1_y,cake0_candle2_x,cake0_candle2_y,avg_x0,avg_y0,avg_x1,avg_y1,avg_x2,avg_y2
0,3e18b6df6085459f8e3436fc1d5172ab,4,0,1,5,3,2,4.0,0.0,1.0,5.0,3.0,2.0
0,e1c15d3149f04a37a0f00324f10f8d7d,0,0,3,2,5,5,0.0,0.0,3.0,2.0,5.0,5.0
